1;Sheet;Zielgruppe;Thema;;Unipark Seiten;;Seite neues Layout;Nummer neues Layout;eigene Nummer;lfd Nummer;Trust 1 v1;;Zielgruppe2;Unipark;;INESkey;;Match;Scorecard;KI;Seite;Frage;Fragetyp;Skala min;Skala max;Wert1;Wert2;Wert3;Wert4;Wert5;;Code1Bemerkung;Codierung2;Codeierung3;Schluessel;;MGT;;;;;Vignette;;ScheetE;Unipark SeitenE;eigene NummerE;lfd NummerE;Trust 1 v1E;UniparkE;EE;FrageEnglisch;;Codierung1E;Codierung2E;Codierung3E;SchluesselE;VignE;MA;;;;;
12;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;;8;9;v8;;MA;v_17;82;100;80;Match MM;;;;zwischen Leitungspersonal und Personal ohne Leitungsfunktion ist…;1;sehr schlecht;sehr gut;1;2;3;4;5;;;1.3;1.3.1;TNO_8;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;8;9;v8;v_17;82;between leaders and followers is…;;;1.3;1.3.1;TNO_8;;;;;;;
13;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;;8;10;v8;;MA;v_18;83;110;80;Match MM;;;;zwischen Frauen und Männern ist…;1;sehr schlecht;sehr gut;1;2;3;4;5;;;1.3;1.3.1;TNO_9;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;8;10;v8;v_18;83;between women and men is…;;;1.3;1.3.1;TNO_9;;;;;;;
14;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;;8;11;v8;;MA;v_19;84;120;80;Match MM;;;;zwischen Akademikern und Nicht-Akademikern ist…;1;sehr schlecht;sehr gut;1;2;3;4;5;;;1.3;1.3.1;TNO_10;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;8;11;v8;v_19;84;between academics and non-academics is…;;;1.3;1.3.1;TNO_10;;;;;;;
15;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;;8;12;v8;;MA;v_20;85;130;80;Match MM;;;;zwischen Produktion und Verwaltung ist…;1;sehr schlecht;sehr gut;1;2;3;4;5;;;1.3;1.3.1;TNO_11;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;8;12;v8;v_20;85;between production and administration is…;;;1.3;1.3.1;TNO_11;;;;;;;
16;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;;8;13;v8;;MA;v_21;86;140;80;Match MM;;;;zwischen Forschung und Entwicklung und Produktion ist…;1;sehr schlecht;sehr gut;1;2;3;4;5;;;1.3;1.3.1;TNO_12;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;8;13;v8;v_21;86;between research&development and production ;;;1.3;1.3.1;TNO_12;;;;;;;
17;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;9;9;14;v9;;MA;v_22;;150;;;P;T;;Gibt es Ihrer Einschätzung nach in Ihrem Unternehmen mehr Gerüchte als üblich? ;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;;1.3;1.3.2.1;TNC_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;9;14;v9;v_22;;Do you think, there are more rumors than usual in your company? ;;;1.3;1.3.2.1;TNC_1;;;;;;;
18;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;2;10;10;15;v10;;MA;v_23;;160;;;M;E;;Wie würden sie den Umgangston in Ihrem Unternehmen beschreiben?;1;Sehr formell;Sehr locker;1;2;3;4;5;;;1.1;1.1.2;TFR_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;10;15;v10;v_23;;How would you describe the ‚conversation sound‘ / the casual conversation within your company? ;;;1.1;1.1.2;TFR_1;;;;;;;
19;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 3;;3;11;11;16;v11;;MA;v_26;;170;;Match MM;M;T;;Wie schnell sind wichtige Informationen über grundsätzliche Entscheidungen bei Ihnen vor Ort? (Top to bottom);1;< 1 Tag;> 6 Tage;< 1 Tag;1-2 Tage;3-4 Tage;5-6 Tage;> 6 Tage;;;1.3;1.3.2.2;TNC_3;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 3;11;16;v11;v_26;;How fast is important information on general decisions on your desk?  (Top to bottom);;;1.3;1.3.2.2;TNC_3;;;;;;;
20;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;5;;3;12;12;17;v12;;MA;v_24;;180;;;M;T;;Ist die Kommunikation in Ihrem Unternehmen offen, nachvollziehbar und bindend?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.3;1.3.2.1;TNC_2;;;;;;;;;Fragen Vertrauen Stand 3011 eng;5;12;17;v12;v_24;;Is the communication in your company open, stringent and binding?  ;;;1.3;1.3.2.1;TNC_2;;;;;;;
21;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;3;13;13;18;v13;;MA;v_27;;190;;;M;T;;Haben Sie in Ihrem Unternehmen ernst zu nehmende persönliche Gespräche, die Sie in die Lage versetzen zu verstehen, warum und wie Entscheidungen getroffen worden sind?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;;1.2;1.2.3;TCA_2;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;13;18;v13;v_27;;Do you have high-quality face to face communication in your company that help you to understand how and why decisions and choices have been made? ;;;1.2;1.2.3;TCA_2;;;;;;;
22;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;3;14;14;19;v14;;MA;v_28;;200;;Match MM;P;T;;Können Sie mit Beschwerden oder anderen Anliegen zu Ihrer Führungskraft kommen?;1;Nie;Immer;1;2;3;4;5;;;1.3;1.3.2.2;TNC_4;;;;;;;A;;Fragen Vertrauen Stand 3011 eng;;14;19;v14;v_28;;Are you allowed to contact your manager with concerns or other important issues?  ;;;1.3;1.3.2.2;TNC_4;A;;;;;;
23;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;3;15;15;20;v15;;MA;v_29;;210;;Match MM;P;T;;Sind die Türen zu Ihren Vorgesetzten für jeden geöffnet?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;;1.3;1.3.2.2;TNC_5;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;15;20;v15;v_29;;Are the doors to the senior managers open for everybody? ;;;1.3;1.3.2.2;TNC_5;;;;;;;
24;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 4;;3;16;16;21;v16;;MA;v_30;;220;;Match MM;P;T;;Machen Sie häufig Gebrauch davon, d.h. nutzen Sie die ‚offene Tür‘? ;1;Nie;Sehr häufig;1;2;3;4;5;;;1.3;1.3.2.2;TNC_6;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 4;16;21;v16;v_30;;Do you use the ‚open door‘ opportunity frequently? ;;;1.3;1.3.2.2;TNC_6;;;;;;;
25;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;6;;4;17;17;22;v17;;MA;v_31;;230;;;P;T;;Haben Sie ausreichend Informationen, um eine eigene Entscheidung zu treffen?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;;1.3;1.3.3;TNI_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;6;17;22;v17;v_31;;Do you have enough Information to make a decision?;;;1.3;1.3.3;TNI_1;;;;;;;
26;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;4;18;18;23;v18;;MA;v_32;;240;;Match MM;;;;Wie viele hierarchische Ebenen gibt es oberhalb Ihrer Position im Unternehmen?;1;< 10; 3-1; < 10; 10-8; 7-6; 5-4; 3-1;;;1.3;1.3.2.2;TNC_7;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;18;23;v18;v_32;;How is the number of hierarchical levels above your position within the company?;;;1.3;1.3.2.2;TNC_7;;;;;;;
27;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;4;19;19;24;v19;;MA;v_33;;250;;;P;L;;Welchen Stellenwert hat in Ihrem Unternehmen die Selbstabstimmung innerhalb von Teams? ;1;Niedrig;Hoch;1;2;3;4;5;;;1.4;1.4.1;TDD_1;;;;;;;C;;Fragen Vertrauen Stand 3011 eng;;19;24;v19;v_33;;Which status or significance has self-determination in teams? ;;;1.4;1.4.1;TDD_1;C;;;;;;
28;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;4;20;20;25;v20;;MA;v_34;;260;;Match MM;P;L;;Überwiegt die Fremdkontrolle in Ihrem Unternehmen?;1;Niedrig;Hoch;1;2;3;4;5;;;1.4;1.4.1;TDD_2;;;;;;;E;;Fragen Vertrauen Stand 3011 eng;;20;25;v20;v_34;;Does external control predominate in your organisation?;;;1.4;1.4.1;TDD_2;E;;;;;;
29;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 5;;4;21;21;26;v21;;MA;v_35;;270;;;M;L;;Inwieweit können Sie frei über die Lösung der gestellten Aufgabe entscheiden?;1;Trifft überhaupt nicht zu;Trifft zu;1;2;3;4;5;;;1.4;1.4.1;TDD_3;;;;;;;C;;Fragen Vertrauen Stand 3011 eng;Trust 5;21;26;v21;v_35;;How is the degree of freedom to make a decision? ;;;1.4;1.4.1;TDD_3;C;;;;;;
30;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;7;;4;22;22;27;v22;;MA;v_36;;280;;Match MM;P;L;;Welche Bedeutung haben Improvisation und Flexibilität für die Aufrechterhaltung der Arbeitsabläufe?;1;Sehr gering;Sehr hoch;1;2;3;4;5;;;1.4;1.4.2;TDE_1;;;;;;;C;;Fragen Vertrauen Stand 3011 eng;7;22;27;v22;v_36;;What is the importance of improvisation and flexibility as regards to the continuance of working procedures? ;;;1.4;1.4.2;TDE_1;C;;;;;;
31;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;5;23;23;28;v23;;MA;v_37;;290;;;P;L;;Geben Sie eine Rückmeldung an Ihre/n Vorgesetzte/n wenn Ihre Aufgabe erledigt ist?;1;Nie;Immer;1;2;3;4;5;;;1.4;1.4.2;TDE_2;;;;;;;E;;Fragen Vertrauen Stand 3011 eng;;23;28;v23;v_37;;Do you give feedback to your supervisor after fulfilling the task? ;;;1.4;1.4.2;TDE_2;E;;;;;;
32;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;5;24;24;29;v24;;MA;v_38;;300;;;P;L;;Fühlen Sie sich kontrolliert durch diese Rückmeldung?;1;Negative Kontrolle;Positive Kontrolle;1;2;3;4;5;;;1.4;1.4.2;TDE_3;;;;;;;E;;Fragen Vertrauen Stand 3011 eng;;24;29;v24;v_38;;Do you feel controlled by this feedback? ;;;1.4;1.4.2;TDE_3;E;;;;;;
33;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;5;25;25;30;v25;;MA;v_39;;310;;;P;L ;;Sehen Sie diese Rückmeldung als Zeichen der Anerkennung durch Ihre Führungskraft?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.4;1.4.2;TDE_4;;;;;;;E;;Fragen Vertrauen Stand 3011 eng;;25;30;v25;v_39;;Do you receive this feedback as a sign of attention/interest in you? ;;;1.4;1.4.2;TDE_4;E;;;;;;
34;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Triust 6;;5;26;26;31;v26;;MA;v_40;;320;;Match MM;P;K;;Tendiert Ihr Unternehmen zu Kontrolle oder zu Honorierung (muss nicht finanziell sein)?;1;Eher Kontrolle;Eher Honorierung;1;2;3;4;5;;;1.4;1.4.2;TDE_5;;;;;;;E;;Fragen Vertrauen Stand 3011 eng;Triust 6;26;31;v26;v_40;;Does your company tend to control or to reward? (must not be financial);;;1.4;1.4.2;TDE_5;E;;;;;;
35;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;8;;5;27;27;32;v27;;MA;v_41;;330;;;P;T;;Findet in den Teams ein gleichberechtigtes wechselseitiges Abstimmen statt?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.4;1.4.3;TDA_1;;;;;;;F;;Fragen Vertrauen Stand 3011 eng;8;27;32;v27;v_41;;Do you see equal mutual reconciliation within teams? ;;;1.4;1.4.3;TDA_1;F;;;;;;
36;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;5;28;28;33;v28;;MA;v_42;;340;;;F;Z;;Haben Sie das Gefühl einen gerechten Anteil am Erfolg des Unternehmens zu  bekommen?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.5;TFJ_2;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;28;33;v28;v_42;;Do you think you have a fair share on the success of the company?;;;1.1;1.1.5;TFJ_2;;;;;;;
37;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;5;29;29;34;v29;;MA;v_43;;350;;;;;;Haben Sie den Eindruck, dass in Ihrem Unternehmen eine gerechte Leistungsbewertung erfolgt?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.5;TFJ_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;29;34;v29;v_43;;Do you think that performance is dealt justly in your organization? ;;;1.1;1.1.5;TFJ_1;;;;;;;
38;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;5;30;30;35;v30;;MA;v_44;;360;;;M;E;;Wenn Mitarbeitende im Unternehmen Ergebnisse nicht liefern können, stehen sie dennoch dazu? D.h. versuchen sie nicht dies zu vertuschen oder andere vorzuschieben?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.1;TFA_2;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;30;35;v30;v_44;;If results are not delivered are messages real, not fake, or fudged?;;;1.1;1.1.1.1;TFA_2;;;;;;;
39;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 7;;6;31;31;36;v31;;MA;v_45;;370;;;;;;Haben Sie den Eindruck, dass Ihre Arbeitsatmosphäre von Aufrichtigkeit gekennzeichnet ist?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.1;TFA_3;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 7;31;36;v31;v_45;;Do you feel like the working atmosphere is characterized by frankness/fair mildness? ;;;1.1;1.1.1.1;TFA_3;;;;;;;
40;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;9;;6;32;32;37;v32;;MA;v_46;;380;;;M;T;;Sind Worte und Handlungen überall und immer konsistent?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.2;TFA_4;;;;;;;F;;Fragen Vertrauen Stand 3011 eng;9;32;37;v32;v_46;;Are words and doings / actions consistent everywhere? ;;;1.1;1.1.1.2;TFA_4;F;;;;;;
41;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;6;33;33;38;v33;;MA;v_47;;390;;;P;T;;Sind Entscheidungen in Ihrem Unternehmen nachvollziehbar und reflektiert, d.h. nicht willkürlich?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.2;TFA_5;;;;;;;F;;Fragen Vertrauen Stand 3011 eng;;33;38;v33;v_47;;Are decisions in your company traceable and not arbitrary? ;;;1.1;1.1.1.2;TFA_5;F;;;;;;
42;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;6;34;34;39;v34;;MA;v_48;;400;;;P;T;;Sind nachvollziehbare und klare Gründe erkennbar, warum Entscheidungen gefällt werden?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.2;TFA_6;;;;;;;F;;Fragen Vertrauen Stand 3011 eng;;34;39;v34;v_48;;Are there clear reasons why things happen? ;;;1.1;1.1.1.2;TFA_6;F;;;;;;
43;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;6;35;35;40;v35;;MA;v_49;;410;;;M;Z;;Halten sich Menschen in Ihrer Organisation an das, was sie versprechen? ;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.2;TFA_7;;;;;;;F;;Fragen Vertrauen Stand 3011 eng;;35;40;v35;v_49;;Do people in your organization do what they commit? ;;;1.1;1.1.1.2;TFA_7;F;;;;;;
44;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 8;;6;36;36;41;v36;;MA;v_50;;420;;;;;;Wenn Sie Ihre Ziele nicht erreichen, gehen Sie damit offen und transparent um, statt die Sachlage zu verfälschen und abzuwarten?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.2;TFA_8;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 8;36;41;v36;v_50;;If you don't meet your targets, do you tell people honestly without fudging the issue before you ‘run against the wall’? ;;;1.1;1.1.1.2;TFA_8;;;;;;;
45;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;10;;7;37;37;42;v37;;MA;v_51;;430;;;P;K;;Sind vertrauliche Informationen sicher in Ihrem Unternehmen?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.2;TFA_9;;;;;;;;;Fragen Vertrauen Stand 3011 eng;10;37;42;v37;v_51;; Is confident information safe in your company? ;;;1.1;1.1.1.2;TFA_9;;;;;;;
46;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;7;38;38;43;v38;;MA;v_52;;440;;;;;;Vertrauen Sie darauf, dass die eigene Verletzbarkeit nicht ausgenutzt wird? ;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1.2;TFA_10;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;38;43;v38;v_52;;Do you trust that the own vulnerability will not be capitalized / exploited?  ;;;1.1;1.1.1.2;TFA_10;;;;;;;
47;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;7;39;39;44;v39;;MA;v_53;;450;;Match MM;P;E;;Haben Sie das Gefühl, dass in Ihrem Unternehmen offen mit Fehlern umgegangen wird? ;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.4;TFF_1;;;;;;;B;;Fragen Vertrauen Stand 3011 eng;;39;44;v39;v_53;;Do you have the impression that people are able to admit failure in your company?;;;1.1;1.1.4;TFF_1;B;;;;;;
48;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;7;40;40;45;v40;;MA;v_54;;460;;;;;;Würden Sie sich selber sicher fühlen, einen Fehler zuzugeben?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.4;TFF_2;;;;;;;B;;Fragen Vertrauen Stand 3011 eng;;40;45;v40;v_54;;Do you feel safe to admit failure? ;;;1.1;1.1.4;TFF_2;B;;;;;;
49;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 9;;7;41;41;46;v41;;MA;v_55;;470;;;;;;Wird jede/r wie ein/e gleichberechtigte/r Partner/in behandelt - Mitarbeitende ohne Kundenkontakt, ‚Facility Manager‘, Einkäufer/Innen, Verkäufer/innen sowie andere Mitarbeitende gleichermaßen? ;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.2;TFR_2;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 9;41;46;v41;v_55;;Is everyone treated as an equal partner, including people in the back office, facility managers, purchasers and sales people? ;;;1.1;1.1.2;TFR_2;;;;;;;
50;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;11;;8;42;42;47;v42;;MA;v_56;;480;;;M;L;;Bestätigt Ihr Eindruck der Firmenkultur, dass Ihre wichtigsten Belange wirklich ernst genommen werden?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.3.2;TFC_2;;;;;;;;;Fragen Vertrauen Stand 3011 eng;11;42;47;v42;v_56;;Does your impression of the company culture make you believe that your best interest is taken at heart? ;;;1.1;1.1.3.2;TFC_2;;;;;;;
51;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;8;43;43;48;v43;;MA;v_57;;490;;;M;R;;Stimmt der Satz: ‚Ich vertraue darauf, dass meine Führungskraft die 'richtige' Entscheidung trifft‘?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.3.1;TFC_1;;;;;;;F;;Fragen Vertrauen Stand 3011 eng;;43;48;v43;v_57;;Is this sentence true ’I trust that my manager is going to make the right decision’? ;;;1.1;1.1.3.1;TFC_1;F;;;;;;
52;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;8;44;44;49;v44;;MA;v_58;;500;;;M;Z;;Sind Sie davon überzeugt, dass Ihr Vorgesetzter/Ihre Vorgesetzte weiß, dass Sie die Ihnen gestellte Aufgabe in der bestmöglichen Art und Weise lösen werden? ;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.2;TFR_3;;;;;;;E;;Fragen Vertrauen Stand 3011 eng;;44;49;v44;v_58;;Are you confident that your supervisor knows that you will solve your task in the best way possible? ;;;1.1;1.1.2;TFR_3;E;;;;;;
53;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;8;45;45;50;v45;;MA;v_59;;510;;;M;Z;;Haben Sie eine grundsätzlich positive Erwartungshaltung gegenüber ihrer Umgebung?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.2;TFR_4;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;45;50;v45;v_59;;Do you generally have positive expectations with respect to your work environment? ;;;1.1;1.1.2;TFR_4;;;;;;;
